Rank,Title,Release Date,Distributor,Genre,Gross,Tickets Sold,highest_grossing_year
2,Rocky III,5/28/1982,MGM,Action,125049125,42533715,1982
3,On Golden Pond,12/4/1981,Universal,Drama,117891412,40099119,1982
4,An Officer and a Gentleman,7/28/1982,Paramount Pictures,Drama,111907443,38063756,1982
5,Porky's,3/19/1982,20th Century Fox,Comedy,109492484,37242341,1982
6,Star Wars: Episode IV - A New Hope,7/21/1978,20th Century Fox,Adventure,86753167,29507879,1982
7,Star Trek II: The Wrath of Khan,6/4/1982,Paramount Pictures,Adventure,78912963,26841143,1982
8,Poltergeist,6/4/1982,MGM,Horror,74706019,25410210,1982
9,The Best Little Whorehouse in Texas,7/23/1982,Universal,Comedy,69701637,23708039,1982
10,Chariots of Fire,9/25/1981,Warner Bros.,Drama,58787946,19995900,1982
11,Annie,5/21/1982,Sony Pictures,Musical,57059003,19407824,1982
12,Raiders of the Lost Ark,6/12/1981,Paramount Pictures,Adventure,54135099,18413298,1982
13,Firefox,6/18/1982,Warner Bros.,Action,45785720,15573374,1982
14,First Blood,10/22/1982,Orion Pictures,Action,43187630,14689670,1982
15,Tootsie,12/17/1982,Sony Pictures,Comedy,40897781,13910809,1982
16,Conan the Barbarian,5/14/1982,Universal,Action,38264085,13014994,1982
17,The Sword and the Sorcerer,4/23/1982,Group 1,Action,36714025,12487763,1982
18,Friday the 13th: Part III,8/13/1982,Paramount Pictures,Horror,36690067,12479614,1982
19,Richard Pryor Live on the Sunset Strip,3/12/1982,Sony Pictures,Concert/Perfor…,34970309,11894662,1982
20,Young Doctors in Love,7/16/1982,20th Century Fox,Comedy,30688860,10438387,1982
21,The Toy,12/10/1982,Sony Pictures,Comedy,30502112,10374868,1982
22,The World According to Garp,7/23/1982,Warner Bros.,Comedy,30207324,10274600,1982
23,Reds,12/4/1981,Paramount Pictures,Drama,29391083,9996967,1982
24,Blade Runner,6/25/1982,Warner Bros.,Thriller/Suspense,28486729,9689363,1982
25,Fast Times at Ridgemont High,8/13/1982,Universal,Comedy,27092880,9215265,1982
26,Tron,7/9/1982,Walt Disney,Action,26918576,9155978,1982
27,48 Hrs.,12/8/1982,Paramount Pictures,Action,24640357,8381073,1982
28,Mad Max 2: The Road Warrior,5/21/1982,Warner Bros.,Action,24600832,8367629,1982
29,Victor/Victoria,3/19/1982,MGM,Musical,22524614,7661433,1982
30,The Dark Crystal,12/17/1982,Universal,Adventure,22029071,7492881,1982
31,Star Wars: Episode V - The Empire Strikes Back,7/31/1981,20th Century Fox,Adventure,21796677,7413835,1982
32,Things Are Tough All Over,7/30/1982,Sony Pictures,Comedy,21134374,7188562,1982
33,Night Shift,7/30/1982,Warner Bros.,Comedy,21017056,7148658,1982
34,Taps,12/9/1981,20th Century Fox,Drama,20991771,7140058,1982
35,Quest for Fire,2/12/1982,20th Century Fox,Adventure,20959585,7129110,1982
36,Airplane II: The Sequel,12/10/1982,Paramount Pictures,Comedy,20495481,6971252,1982
37,The Beach Girls,3/26/1982,Crown,Comedy,20418789,6945166,1982
38,Some Kind of Hero,4/2/1982,Paramount Pictures,Comedy,20400486,6938940,1982
39,Six Pack,7/16/1982,20th Century Fox,Comedy,20225989,6879588,1982
40,Creepshow,11/10/1982,Warner Bros.,Horror,20036244,6815048,1982
41,Best Friends,12/17/1982,Warner Bros.,Comedy,19711565,6704613,1982
42,Deathtrap,3/19/1982,Warner Bros.,Comedy,19282000,6558503,1982
43,Dead Men Don't Wear Plaid,5/21/1982,Universal,Comedy,18196170,6189173,1982
44,My Favorite Year,10/1/1982,MGM,Comedy,17458105,5938130,1982
45,Class Reunion,10/29/1982,20th Century Fox,Comedy,16550727,5629498,1982
46,The Verdict,12/8/1982,20th Century Fox,Drama,16373660,5569272,1982
47,Death Wish II,2/19/1982,Sony Pictures,Action,16100000,5476190,1982
48,Missing,2/12/1982,Universal,Thriller/Suspense,16000000,5442176,1982
49,Zapped!,7/23/1982,Embassy,Comedy,15026217,5110958,1982
50,Pink Floyd: The Wall,8/6/1982,MGM,Drama,14844106,5049015,1982
51,Halloween III: Season of the Witch,10/22/1982,Universal,Horror,14400000,4897959,1982
52,Absence of Malice,11/19/1981,Columbia,Drama,14306837,4866271,1982
53,Grease 2,6/11/1982,Paramount Pictures,Musical,14297083,4862953,1982
54,Sharky's Machine,12/18/1981,Warner Bros.,Thriller/Suspense,14046546,4777736,1982
55,The Thing,6/25/1982,Universal,Horror,13782838,4688040,1982
56,Author! Author!,6/18/1982,20th Century Fox,Comedy,13111101,4459558,1982
57,The Incubus,9/3/1982,Artists Releasing…,Horror,13110874,4459480,1982
58,Diner,4/2/1982,MGM,Comedy,12592907,4283301,1982
59,Visiting Hours,5/28/1982,20th Century Fox,Horror,12581713,4279494,1982
60,Monsignor,10/22/1982,20th Century Fox,Drama,12408066,4220430,1982
61,Making Love,2/12/1982,20th Century Fox,Drama,11897978,4046931,1982
62,Amityville II: The Possession,9/24/1982,Orion Pictures,Horror,11328000,3853061,1982
63,The Beastmaster,8/20/1982,MGM,Action,10751126,3656845,1982
64,Silent Rage,4/2/1982,Sony Pictures,Action,10490791,3568296,1982
65,The Secret of Nimh,7/2/1982,MGM,Adventure,10140325,3449090,1982
66,Hanky Panky,6/4/1982,Sony Pictures,Comedy,9823934,3341474,1982
67,Peter Pan,7/14/1989,RKO Radio Pictures,Adventure,9453922,3215619,1982
68,Ragtime,11/20/1981,Paramount Pictures,Drama,9085657,3090359,1982
69,A Midsummer Night's Sex Comedy,7/16/1982,Orion Pictures,Comedy,9077269,3087506,1982
70,If You Could See What I Hear,4/23/1982,Jensen Farley Pic…,Drama,8693512,2956976,1982
71,Modern Problems,12/25/1981,20th Century Fox,Comedy,8275044,2814640,1982
72,Shoot the Moon,1/22/1982,MGM,Drama,8100000,2755102,1982
73,The Pirate Movie,8/6/1982,20th Century Fox,Musical,7983086,2715335,1982
74,The Missionary,11/5/1982,Sony Pictures,Comedy,7241180,2462986,1982
75,Tex,11/19/1982,Walt Disney,Drama,7199408,2448778,1982
76,Neighbors,12/18/1981,Columbia,Comedy,7003214,2382045,1982
77,Cat People,4/2/1982,Universal,Drama,7000000,2380952,1982
78,I Ought to be in Pictures,3/26/1982,20th Century Fox,Comedy,6968359,2370190,1982
79,Kiss Me Goodbye,12/22/1982,20th Century Fox,Comedy,6967535,2369909,1982
80,Class of 1984,8/20/1982,United Film Distr…,Drama,6965361,2369170,1982
81,The Man From Snowy River,11/3/1982,20th Century Fox,Drama,6542492,2225337,1982
82,The Last Unicorn,11/19/1982,Jensen Farley Pic…,Adventure,6455330,2195690,1982
83,Trail of the Pink Panther,12/17/1982,MGM,Comedy,6243250,2123554,1982
84,Arthur,7/17/1981,Warner Bros.,Comedy,6152248,2092601,1982
85,The Soldier,8/13/1982,Embassy,Action,6123549,2082839,1982
86,The Border,1/29/1982,Universal,Drama,6118683,2081184,1982
87,Timerider: The Adventure of Lyle Swann,1/1/1982,,,6000000,2040816,1982
88,The Last American Virgin,8/4/1982,Cannon,Comedy,5829781,1982918,1982
89,Bambi,8/13/1942,RKO Radio Pictures,Drama,5723384,1946729,1982
90,Megaforce,6/25/1982,20th Century Fox,Action,5675599,1930475,1982
91,The Concrete Jungle,9/3/1982,Pentagon Releasin…,Thriller/Suspense,5664557,1926720,1982
92,Vice Squad,1/22/1982,Avco Embassy,Action,5568880,1894176,1982
93,Private Lessons,8/28/1981,Jensen Farley Pic…,Comedy,5164851,1756752,1982
94,Tempest,8/13/1982,Sony Pictures,Comedy,5005245,1702464,1982
95,Paradise,5/7/1982,Embassy,Adventure,5000000,1700680,1982
96,The Seduction,1/22/1982,Avco Embassy,Thriller/Suspense,4888270,1662676,1982
97,They Call Me Bruce,11/12/1982,Artists Releasing…,Comedy,4818768,1639036,1982
98,Six Weeks,12/17/1982,Universal,Drama,4799864,1632606,1982
99,Evil Under the Sun,3/5/1982,Universal,Thriller/Suspense,4659287,1584791,1982
100,Night Crossing,2/5/1982,Walt Disney,Drama,4500000,1530612,1982
1,Star Wars: Episode VI - Return of the Jedi,3/14/1997,20th Century Fox,Adventure,249333284,79153423,1983
2,Tootsie,12/17/1982,Sony Pictures,Comedy,136302219,43270545,1983
3,Flashdance,4/15/1983,Paramount Pictures,Drama,90463574,28718594,1983
4,Trading Places,6/8/1983,Paramount Pictures,Comedy,90400000,28698412,1983
5,WarGames,6/3/1983,MGM,Thriller/Suspense,74433837,23629789,1983
6,Octopussy,6/10/1983,MGM,Action,67900000,21555555,1983
7,Mr. Mom,7/22/1983,20th Century Fox,Comedy,64800000,20571428,1983
8,Staying Alive,7/15/1983,Paramount Pictures,Musical,63841474,20267134,1983
9,Risky Business,8/5/1983,Warner Bros.,Comedy,63541777,20171992,1983
10,Vacation,7/29/1983,Warner Bros.,Comedy,61400000,19492063,1983
11,Superman III,6/17/1983,Warner Bros.,Adventure,59950623,19031943,1983
12,Never Say Never Again,10/7/1983,Warner Bros.,Action,53448619,16967815,1983
13,Gandhi,12/8/1982,Sony Pictures,Drama,51443727,16331341,1983
14,48 Hrs.,12/8/1982,Paramount Pictures,Action,51295908,16284415,1983
15,The Big Chill,11/6/1998,Sony Pictures,Comedy,43738171,13885133,1983
16,Terms of Endearment,11/23/1983,Paramount Pictures,Drama,42968996,13640951,1983
17,Blue Thunder,5/13/1983,Sony Pictures,Action,42313354,13432810,1983
18,Jaws 3-D,7/22/1983,Universal,Horror,42245180,13411168,1983
19,Sudden Impact,12/9/1983,Warner Bros.,Action,41852579,13286533,1983
20,The Verdict,12/8/1982,20th Century Fox,Drama,37603590,11937647,1983
21,ET: The Extra-Terrestrial,6/11/1982,Universal,Drama,37358320,11859784,1983
22,Porky's II: The Next Day,6/24/1983,20th Century Fox,Comedy,33759266,10717227,1983
23,Psycho II,6/3/1983,Universal,Horror,32000000,10158730,1983
24,Snow White and the Seven Dwarfs,12/20/1975,Walt Disney,Musical,30100976,9555865,1983
25,Twilight Zone: The Movie,6/24/1983,Warner Bros.,Horror,29500000,9365079,1983
26,Easy Money,8/19/1983,Orion Pictures,Comedy,29309766,9304687,1983
27,High Road to China,3/18/1983,Warner Bros.,Adventure,28416459,9021098,1983
28,The Outsiders,3/25/1983,Warner Bros.,Drama,25697647,8157983,1983
29,Spring Break,3/25/1983,Sony Pictures,Comedy,24071666,7641798,1983
30,Sophie's Choice,12/10/1982,Universal,Drama,23890547,7584300,1983
31,My Tutor,3/4/1983,Crown,Comedy,22587000,7170476,1983
32,Scarface,12/9/1983,Universal,Drama,22055200,7001650,1983
33,Class,7/22/1983,Orion Pictures,Comedy,21667789,6878663,1983
34,Cujo,8/12/1983,Warner Bros.,Horror,21156152,6716238,1983
35,The Dead Zone,10/21/1983,Paramount Pictures,Horror,20766000,6592380,1983
36,A Christmas Story,11/18/1983,MGM,Comedy,20105447,6382681,1983
37,Breathless,5/13/1983,Orion Pictures,Action,19910002,6320635,1983
38,Yentl,11/18/1983,MGM/UA Classics,Musical,18678870,5929800,1983
39,The Dark Crystal,12/17/1982,Universal,Adventure,18547930,5888231,1983
40,An Officer and a Gentleman,7/28/1982,Paramount Pictures,Drama,17888111,5678765,1983
41,Max Dugan Returns,3/25/1983,20th Century Fox,Comedy,17613720,5591657,1983
42,All the Right Moves,10/21/1983,20th Century Fox,Drama,17200000,5460317,1983
43,Best Friends,12/17/1982,Warner Bros.,Comedy,16958991,5383806,1983
44,Valley Girl,4/29/1983,Atlantic,Comedy,16800000,5333333,1983
45,The Toy,12/10/1982,Sony Pictures,Comedy,16615945,5274903,1983
46,Krull,7/29/1983,Sony Pictures,Adventure,16519460,5244273,1983
47,Spacehunter: Adventures in the Forbidden Zone,5/20/1983,Sony Pictures,Adventure,16478265,5231195,1983
48,Richard Pryor Here and Now,10/28/1983,Sony Pictures,Concert/Perfor…,16156776,5129135,1983
49,Still Smokin,5/6/1983,Paramount Pictures,Comedy,15543000,4934285,1983
50,The Meaning of Life,3/31/1983,Universal,Comedy,14929552,4739540,1983
51,Two of a Kind,12/16/1983,20th Century Fox,Comedy,14754743,4684045,1983
52,The Man From Snowy River,11/3/1982,20th Century Fox,Drama,14116931,4481565,1983
53,Private School,7/29/1983,Universal,Comedy,14049540,4460171,1983
54,The Survivors,6/22/1983,Sony Pictures,Comedy,14000000,4444444,1983
55,Uncommon Valor,12/16/1983,Paramount Pictures,Action,13978862,4437733,1983
56,Christine,12/9/1983,Sony Pictures,Horror,13721069,4355894,1983
57,The Right Stuff,10/21/1983,Warner Bros.,Action,13700891,4349489,1983
58,The Entity,2/4/1983,20th Century Fox,Horror,13277558,4215097,1983
59,The Rescuers,6/22/1977,Walt Disney,Adventure,13057259,4145161,1983
60,Stroker Ace,7/1/1983,Universal,Comedy,13000000,4126984,1983
61,Lone Wolf McQuade,4/15/1983,Orion Pictures,Action,12232628,3883373,1983
62,Zelig,7/15/1983,Orion Pictures,Comedy,11798616,3745592,1983
63,The Lords of Discipline,2/18/1983,Paramount Pictures,Thriller/Suspense,11721041,3720965,1983
64,The Smurfs and the Magic Flute,10/7/1983,Atlantic,Adventure,11234220,3566419,1983
65,D.C. Cab,12/16/1983,Universal,Comedy,10927540,3469060,1983
66,Deal of the Century,11/4/1983,Warner Bros.,Comedy,10400000,3301587,1983
67,Doctor Detroit,5/6/1983,Universal,Comedy,10400000,3301587,1983
68,The Man with Two Brains,6/3/1983,Warner Bros.,Comedy,10353438,3286805,1983
69,Revenge of the Ninja,9/7/1983,Cannon,Action,10325628,3277977,1983
70,Educating Rita,9/21/1983,Sony Pictures,Drama,10278032,3262867,1983
71,Lovesick,2/18/1983,Warner Bros.,Comedy,10143618,3220196,1983
72,The Black Stallion Returns,3/25/1983,MGM/UA Classics,Adventure,9851679,3127517,1983
73,Without a Trace,2/4/1983,20th Century Fox,Drama,9632062,3057797,1983
74,Hercules,8/26/1983,Cannon,Adventure,9466655,3005287,1983
75,Bad Boys,3/25/1983,Universal,Drama,9200000,2920634,1983
76,The Sword in the Stone,12/25/1963,Walt Disney,Adventure,9131576,2898913,1983
77,Brainstorm,9/30/1983,MGM,Thriller/Suspense,8921050,2832079,1983
78,Deathstalker,9/2/1983,New World,Action,8890685,2822439,1983
79,Kiss Me Goodbye,12/22/1982,20th Century Fox,Comedy,8815224,2798483,1983
80,The Year of Living Dangerously,1/21/1983,MGM,Drama,8601065,2730496,1983
81,Tender Mercies,3/4/1983,Universal,Drama,8443124,2680356,1983
82,The House on Sorority Row,1/21/1983,Artists Releasing…,Horror,8184633,2598296,1983
83,They Call Me Bruce,11/12/1982,Artists Releasing…,Comedy,8106669,2573545,1983
84,Silkwood,12/14/1983,20th Century Fox,Drama,7941875,2521230,1983
85,Never Cry Wolf,10/7/1983,Walt Disney,Drama,7479327,2374389,1983
86,10 to Midnight,3/11/1983,Cannon,Action,7175592,2277965,1983
87,Gorky Park,12/16/1983,Orion Pictures,Drama,7065392,2242981,1983
88,To Be or Not to Be,12/16/1983,20th Century Fox,Comedy,7050601,2238286,1983
89,Strange Brew,8/19/1983,MGM,Comedy,7035618,2233529,1983
90,Smokey and the Bandit Part 3,8/12/1983,Universal,Comedy,7000000,2222222,1983
91,The Man Who Loved Women,12/16/1983,Sony Pictures,Comedy,6742181,2140374,1983
92,Nightmares,9/2/1983,Universal,Horror,6670680,2117676,1983
93,The Golden Seal,8/19/1983,Samuel Goldwyn Films,Adventure,6609870,2098371,1983
94,The Osterman Weekend,10/21/1983,20th Century Fox,Thriller/Suspense,6500000,2063492,1983
95,The Sting II,2/18/1983,Universal,Comedy,6347072,2014943,1983
96,Amityville 3-D,11/18/1983,Orion Pictures,Horror,6333135,2010519,1983
97,Chained Heat,5/27/1983,Jensen Farley Pic…,Drama,6149983,1952375,1983
98,Local Hero,2/18/1983,Warner Bros.,Comedy,5767363,1830908,1983
99,Under Fire,10/21/1983,Orion Pictures,Drama,5700000,1809523,1983
100,Something Wicked This Way Comes,4/29/1983,Walt Disney,Horror,5656087,1795583,1983
1,Ghostbusters,6/8/1984,Sony Pictures,Adventure,220855498,65730802,1984
2,Indiana Jones and the Temple of Doom,5/23/1984,Paramount Pictures,Adventure,179880271,53535794,1984
3,Gremlins,6/8/1984,Warner Bros.,Comedy,148168459,44097755,1984
4,Beverly Hills Cop,12/5/1984,Paramount Pictures,Action,103873224,30914650,1984
5,The Karate Kid,6/22/1984,Sony Pictures,Action,90815558,27028439,1984
6,Police Academy,3/23/1984,Warner Bros.,Comedy,81198894,24166337,1984
7,Footloose,2/17/1984,Paramount Pictures,Musical,80000000,23809523,1984
8,Star Trek III: The Search for Spock,6/1/1984,Paramount Pictures,Adventure,76471046,22759239,1984
9,Romancing the Stone,3/30/1984,20th Century Fox,Adventure,75078260,22344720,1984
10,Purple Rain,7/27/1984,Warner Bros.,Drama,66524902,19799077,1984
11,Terms of Endearment,11/23/1983,Paramount Pictures,Drama,65454493,19480503,1984
12,Splash,3/9/1984,Walt Disney,Comedy,62599495,18630802,1984
13,Grand Canyon: The Hidden Secrets,6/16/1984,,Documentary,52800000,15714285,1984
14,Tightrope,8/17/1984,Warner Bros.,Thriller/Suspense,48100000,14315476,1984
15,The Natural,5/11/1984,Sony/TriStar,Drama,47951979,14271422,1984
16,"Greystoke: The Legend of Tarzan, Lord of the Apes",3/30/1984,Warner Bros.,Adventure,45900000,13660714,1984
17,Revenge of the Nerds,7/20/1984,20th Century Fox,Comedy,40874452,12165015,1984
18,Red Dawn,8/10/1984,MGM/UA Classics,Action,38900000,11577380,1984
19,Bachelor Party,6/29/1984,20th Century Fox,Comedy,38435947,11439269,1984
20,Breakin',5/4/1984,Cannon,Musical,36100000,10744047,1984
21,The Terminator,10/26/1984,Orion Pictures,Action,36081923,10738667,1984
22,All of Me,9/21/1984,Universal,Comedy,35243581,10489161,1984
23,Friday the 13th: The Final Chapter,4/13/1984,Paramount Pictures,Horror,32980880,9815738,1984
24,2010,12/7/1984,MGM,Thriller/Suspense,32089940,9550577,1984
25,City Heat,12/7/1984,Warner Bros.,Action,30941125,9208668,1984
26,Places in the Heart,9/21/1984,Sony/TriStar,Drama,29814863,8873471,1984
27,Cannonball Run II,6/29/1984,Warner Bros.,Comedy,28100000,8363095,1984
28,Teachers,10/5/1984,MGM/UA Classics,Drama,27700000,8244047,1984
29,Silkwood,12/14/1983,20th Century Fox,Drama,27673734,8236230,1984
30,Conan the Destroyer,6/29/1984,Universal,Action,26400000,7857142,1984
31,Sudden Impact,12/9/1983,Warner Bros.,Action,25790114,7675629,1984
32,The Muppets Take Manhattan,7/13/1984,Sony/TriStar,Comedy,25534703,7599613,1984
33,A Nightmare on Elm Street,11/9/1984,New Line,Horror,25504513,7590628,1984
34,The Woman in Red,8/15/1984,Orion Pictures,Comedy,25308147,7532186,1984
35,Moscow on the Hudson,4/6/1984,Sony Pictures,Comedy,25100000,7470238,1984
36,Against All Odds,3/2/1984,Sony Pictures,Drama,25100000,7470238,1984
37,Dune,12/14/1984,Universal,Action,23867837,7103522,1984
38,Sixteen Candles,5/4/1984,Universal,Comedy,23686027,7049412,1984
39,The Jungle Book,7/13/1990,Walt Disney,Musical,23001559,6845702,1984
40,Missing in Action,11/16/1984,Cannon,Action,22812411,6789408,1984
41,The Last Starfighter,7/13/1984,Universal,Comedy,22200789,6607377,1984
42,Oh God You Devil!,11/9/1984,Warner Bros.,Comedy,21538000,6410119,1984
43,Rhinestone,6/22/1984,20th Century Fox,Comedy,21400000,6369047,1984
44,The Neverending Story,7/20/1984,Warner Bros.,Adventure,21300000,6339285,1984
45,Top Secret!,6/22/1984,Paramount Pictures,Comedy,21100000,6279761,1984
46,Weekend Pass,2/3/1984,Crown,Comedy,21058033,6267271,1984
47,A Soldier's Story,9/14/1984,Sony Pictures,Drama,20526762,6109155,1984
48,Yentl,11/18/1983,MGM/UA Classics,Musical,20333371,6051598,1984
49,Never Cry Wolf,10/7/1983,Walt Disney,Drama,20189437,6008761,1984
50,Unfaithfully Yours,2/10/1984,20th Century Fox,Romantic Comedy,19928200,5931011,1984
51,Amadeus,9/19/1984,Warner Bros.,Drama,19905452,5924241,1984
52,Best Defense,7/20/1984,Paramount Pictures,Comedy,19265302,5733720,1984
53,Pinocchio,12/21/1984,Walt Disney,Adventure,19252911,5730033,1984
54,Scarface,12/9/1983,Universal,Drama,18904389,5626306,1984
55,Blame it on Rio,2/17/1984,20th Century Fox,Comedy,18600000,5535714,1984
56,Starman,12/14/1984,Sony Pictures,Adventure,18158623,5404352,1984
57,Hot Dog... The Movie,1/13/1984,MGM/UA Classics,Comedy,17540166,5220287,1984
58,Lassiter,2/17/1984,Warner Bros.,Thriller/Suspense,17513452,5212336,1984
59,Angel,1/13/1984,New World,Thriller/Suspense,17488564,5204929,1984
60,The Cotton Club,12/14/1984,Orion Pictures,Drama,16654422,4956673,1984
61,Beat Street,6/8/1984,Orion Pictures,Drama,16595791,4939223,1984
62,Protocol,12/21/1984,Warner Bros.,Comedy,15690200,4669702,1984
63,Firestarter,5/11/1984,Universal,Horror,15136870,4505020,1984
64,Children of the Corn,3/9/1984,New World,Horror,14600000,4345238,1984
65,Night of the Comet,11/16/1984,Atlantic,Horror,14600000,4345238,1984
66,Uncommon Valor,12/16/1983,Paramount Pictures,Action,13921138,4143195,1984
67,Supergirl,11/21/1984,Sony/TriStar,Adventure,13829756,4115998,1984
68,Micki + Maude,12/21/1984,Sony Pictures,Comedy,13368454,3978706,1984
69,The Evil That Men Do,9/21/1984,Sony/TriStar,Action,13102025,3899412,1984
70,The Ice Pirates,3/16/1984,MGM/UA Classics,Comedy,13075390,3891485,1984
71,Irreconcilable Differences,9/28/1984,Warner Bros.,Comedy,12400000,3690476,1984
72,The Big Chill,11/6/1998,Sony Pictures,Comedy,12339330,3672419,1984
73,Dreamscape,8/17/1984,20th Century Fox,Adventure,12116365,3606061,1984
74,Johnny Dangerously,12/21/1984,20th Century Fox,Comedy,11792585,3509697,1984
75,Up the Creek,4/6/1984,Orion Pictures,Comedy,11708269,3484603,1984
76,Tank,3/16/1984,Universal,Action,11131530,3312955,1984
77,The Flamingo Kid,12/21/1984,20th Century Fox,Comedy,11118071,3308949,1984
78,Broadway Danny Rose,1/27/1984,Orion Pictures,Comedy,10600497,3154909,1984
79,Where the Boys Are,4/6/1984,Sony/TriStar,Comedy,10530000,3133928,1984
80,Thief of Hearts,10/19/1984,Paramount Pictures,Drama,10400000,3095238,1984
81,Breakin' 2: Electric Boogaloo,12/19/1984,Cannon,Musical,10348310,3079854,1984
82,Falling in Love,11/21/1984,Paramount Pictures,Drama,10185573,3031420,1984
83,Cloak & Dagger,8/10/1984,Universal,Action,9719952,2892842,1984
84,The Wild Life,9/28/1984,,Comedy,9500000,2827380,1984
85,Bolero,8/31/1984,Cannon,Drama,9000000,2678571,1984
86,Two of a Kind,12/16/1983,20th Century Fox,Comedy,8945257,2662278,1984
87,Hard To Hold,4/6/1984,Universal,Drama,8853155,2634867,1984
88,Gorky Park,12/16/1983,Orion Pictures,Drama,8834608,2629347,1984
89,Body Double,10/26/1984,Sony Pictures,Thriller/Suspense,8801940,2619625,1984
90,Oxford Blues,8/24/1984,MGM/UA Classics,Comedy,8793000,2616964,1984
91,The Bounty,5/4/1984,Orion Pictures,Drama,8613462,2563530,1984
92,Country,9/29/1984,Walt Disney,Drama,8400000,2500000,1984
93,Terror in the Aisles,10/26/1984,Universal,Multiple Genres,8316206,2475061,1984
94,The Philadelphia Experiment,8/3/1984,New World,Adventure,8103330,2411705,1984
95,The Little Drummer Girl,10/19/1984,Warner Bros.,Thriller/Suspense,7828841,2330012,1984
96,The Right Stuff,10/21/1983,Warner Bros.,Action,7799109,2321163,1984
97,Ninja III: The Domination,9/14/1984,Cannon,Action,7610785,2265114,1984
98,Just the Way You Are,11/16/1984,MGM/UA Classics,Comedy,7517699,2237410,1984
99,Christine,12/9/1983,Sony Pictures,Horror,7478931,2225872,1984
100,Iceman,4/13/1984,Universal,Drama,7343032,2185426,1984
1,Back to the Future,7/3/1985,Universal,Adventure,193144445,54406885,1985
2,Rambo: First Blood Part II,5/22/1985,Sony/TriStar,Action,150415432,42370544,1985
3,Beverly Hills Cop,12/5/1984,Paramount Pictures,Action,130887254,36869649,1985
4,The Dream is Alive,6/30/1985,IMAX Films,Documentary,125900000,35464788,1985
5,Rocky IV,11/27/1985,MGM,Drama,105524891,29725321,1985
6,Cocoon,6/21/1985,20th Century Fox,Adventure,76257348,21480943,1985
7,Witness,2/8/1985,Paramount Pictures,Thriller/Suspense,65532576,18459880,1985
8,The Goonies,6/7/1985,Warner Bros.,Adventure,61389680,17292867,1985
9,Police Academy 2: Their First Assignment,3/29/1985,Warner Bros.,Comedy,55337042,15587899,1985
10,Fantasia,10/5/1990,Walt Disney,Musical,50500882,14225600,1985
11,A View to a Kill,5/24/1985,MGM,Action,50327960,14176890,1985
12,National Lampoon's European Vacation,7/26/1985,Warner Bros.,Comedy,49400000,13915492,1985
13,Fletch,5/31/1985,Universal,Comedy,46700000,13154929,1985
14,The Breakfast Club,2/15/1985,Universal,Comedy,45875171,12922583,1985
15,Spies Like Us,12/6/1985,Warner Bros.,Adventure,43754210,12325129,1985
16,The Jewel of the Nile,12/11/1985,20th Century Fox,Adventure,43741096,12321435,1985
17,Mask,3/8/1985,Universal,Drama,42417782,11948670,1985
18,Pale Rider,6/28/1985,Warner Bros.,Western,41410568,11664948,1985
19,Pee Wee's Big Adventure,7/26/1985,Warner Bros.,Adventure,40940662,11532580,1985
20,Brewster's Millions,5/22/1985,Universal,Comedy,40800000,11492957,1985
21,Jagged Edge,10/4/1985,Sony Pictures,Thriller/Suspense,38768101,10920591,1985
22,St. Elmo's Fire,6/28/1985,Sony Pictures,Drama,37800000,10647887,1985
23,Mad Max Beyond Thunderdome,7/10/1985,Warner Bros.,Action,36230219,10205695,1985
24,Commando,10/4/1985,20th Century Fox,Action,35073978,9879993,1985
25,Silverado,7/10/1985,Sony Pictures,Western,33200000,9352112,1985
26,The Killing Fields,11/2/1984,Warner Bros.,Drama,33106411,9325749,1985
27,Teen Wolf,8/23/1985,Atlantic,Comedy,33086611,9320172,1985
28,The Last Dragon,3/22/1985,Sony Pictures,Action,33000000,9295774,1985
29,Amadeus,9/19/1984,Warner Bros.,Drama,32067577,9033120,1985
30,White Nights,11/22/1985,Sony Pictures,Thriller/Suspense,29867917,8413497,1985
31,Desperately Seeking Susan,3/29/1985,Orion Pictures,Comedy,27400000,7718309,1985
32,Prizzi's Honor,6/14/1985,20th Century Fox,Drama,26700000,7521126,1985
33,Out of Africa,12/18/1985,Universal,Drama,26685197,7516956,1985
34,A Passage to India,12/14/1984,Sony Pictures,Drama,25846972,7280837,1985
35,Agnes of God,9/13/1985,Sony Pictures,Drama,25627836,7219108,1985
36,Fright Night,8/2/1985,Sony Pictures,Horror,24922237,7020348,1985
37,Summer Rental,8/9/1985,Paramount Pictures,Comedy,24671000,6949577,1985
38,The Emerald Forest,7/3/1985,Avco Embassy,Drama,24468550,6892549,1985
39,Santa Claus,11/29/1985,Sony/TriStar,Adventure,23593141,6645955,1985
40,The Gods Must Be Crazy,7/9/1984,20th Century Fox,Comedy,23265367,6553624,1985
41,The Care Bears Movie,3/29/1985,Samuel Goldwyn Films,Adventure,22934000,6460281,1985
42,Friday the 13th: A New Beginning,3/22/1985,Paramount Pictures,Horror,21930418,6177582,1985
43,The Black Cauldron,7/24/1985,Walt Disney,Adventure,21288692,5996814,1985
44,A Nightmare on Elm Street 2: Freddy's Revenge,11/1/1985,New Line,Horror,21163999,5961689,1985
45,Porky's Revenge,3/22/1985,20th Century Fox,Comedy,20518000,5779718,1985
46,One Hundred and One Dalmatians,7/12/1991,Walt Disney,Adventure,20345559,5731143,1985
47,Code of Silence,5/3/1985,Orion Pictures,Action,20345361,5731087,1985
